word,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42
brilqniat,5.000000,12.222222,33.111111,104.444444,327.888889,1037.222222,3293.888889,10446.111111,33151.777778,105216.777778,333924.888889,1059829.222222,3363732.555556,10675987.111111,33884091.777778,107543338.111111,341327548.888889,1083326132.222222,3438326346.222222,10912769562.111111,34635612770.777779,109928617779.444443,348898144561.888916,1107354188134.222168,3514588189675.888672,11154814129685.111328,35403828714588.781250,112366828627232.781250,356636686884942.875000,1131915245685620.250000,3592541571111188.000000,11402227321665470.000000,36189083778576016.000000,114859118993746736.000000,364546869899758144.000000,1157021066485357312.000000,3672223954793611264.000000,11655128125820272640.000000,36991755759330181120.000000,117406688230776946688.000000,372632500360356954112.000000,1.182683733075543e+21,3.7536736895703895e+21
billdaitn,5.000000,11.555556,26.888889,78.111111,235.777778,728.444444,2300.222222,7273.000000,23052.111111,73137.888889,232066.777778,736492.222222,2337449.000000,7418602.888889,23545498.111111,74729932.111111,237182131.333333,752782816.666667,2389227456.333333,7583075080.000000,24067624966.222221,76387293290.000000,242442644190.333344,769479233561.222168,2442220070935.888672,7751266855506.111328,24601443003772.890625,78081558694801.437500,247820008263833.781250,786546241180298.125000,2496388382255596.000000,7923189545383844.000000,25147101716376988.000000,79813403568345664.000000,253316643047437472.000000,803991795562010752.000000,2551758145673857024.000000,8098925474060731392.000000,25704863113925275648.000000,81583660674722758656.000000,258935192908402229248.000000,821824291432965603328.000000,2.6083560075521137e+21
bust,2.500000,6.750000,20.500000,68.250000,212.500000,675.000000,2145.750000,6802.750000,21598.500000,68550.750000,217562.250000,690530.750000,2191637.500000,6955954.000000,22077259.000000,70070120.500000,222392851.250000,705844005.500000,2240250669.750000,7110244165.500000,22566926127.500000,71624285079.250000,227325520032.750000,721499585689.500000,2289939344125.250000,7267949010089.250000,23067459383425.750000,73212908025943.500000,232367588145935.500000,737502408749791.500000,2340730078802469.500000,7429151738088366.000000,23579094423300356.000000,74836766487417072.000000,237521489067777312.000000,753860173507902336.000000,2392647349222344192.000000,7593929934117545984.000000,24102077501320740864.000000,76496642044298133504.000000,242789703241673998336.000000,770580752630223601664.000000,2.4457161419778e+21
buit,2.500000,6.750000,20.500000,68.250000,213.250000,682.500000,2170.500000,6885.250000,21867.000000,69402.000000,220273.500000,699142.250000,2218969.750000,7042723.750000,22352658.250000,70944212.500000,225167135.750000,714649202.000000,2268197189.250000,7198942590.750000,22848442616.000000,72517779395.500000,230161346819.250000,730500105634.500000,2318505742991.000000,7358614787437.500000,23355219951957.250000,74126220051338.250000,235266313498029.250000,746702559884328.750000,2369930079013218.500000,7521828477830896.000000,23873237506426136.000000,75770335725940176.000000,240484507996707296.000000,763264383512809472.000000,2422495003907526144.000000,7688662239089566720.000000,24402744662609182720.000000,77450917799585103872.000000,245818441775094562816.000000,780193547519965134848.000000,2.476225816078944e+21
bwut,2.500000,10.500000,35.750000,122.000000,389.750000,1247.500000,3974.000000,12619.250000,40078.750000,127226.500000,403821.750000,1281733.750000,4068083.250000,12911604.000000,40979755.500000,130064134.000000,412805675.000000,1310188037.250000,4158354865.000000,13198040516.250000,41888745593.500000,132949053612.500000,421961807656.750000,1339248095169.750000,4250587202803.500000,13490772642760.250000,42817836170486.750000,135897857210533.250000,431320899087599.000000,1368952548679156.500000,4344865005369366.000000,13789997274244050.000000,43767533534082448.000000,138912064561058400.000000,440887574018468608.000000,1399315844438006016.000000,4441233883387208704.000000,14095858690764894208.000000,44738295133080035328.000000,141993126869659353088.000000,450666437293786660864.000000,1.4303525964993213e+21,4.5397402180598335e+21
bi,1.500000,3.500000,8.000000,22.000000,66.500000,209.000000,659.000000,2087.000000,6618.500000,20995.500000,66626.500000,211447.500000,671081.000000,2129893.500000,6759945.000000,21455073.500000,68095358.500000,216125099.000000,685950892.000000,2177112578.500000,6909852318.000000,21930910017.000000,69605658011.000000,220918677746.500000,701165158730.500000,2225400699823.500000,7063112327196.500000,22417336237702.000000,71149507573131.500000,225818642068682.000000,716716964677353.500000,2274759970001314.000000,7219771787398530.000000,22914551578869568.000000,72727599919054448.000000,230827287707609216.000000,732613709372442496.000000,2325214026862934016.000000,7379905947093854208.000000,23422795131435851776.000000,74340694272026640384.000000,235947024846310801408.000000,748863043034207485952.000000
svt,2.000000,5.666667,14.666667,46.333333,137.333333,429.333333,1357.666667,4289.000000,13605.333333,43161.666667,136952.333333,434651.666667,1379464.000000,4378162.666667,13895625.333333,44102635.333333,139975513.000000,444262636.000000,1410027503.000000,4475230940.000000,14203760124.666666,45080758621.000000,143080057693.000000,454116203318.666687,1441301672715.666748,4574491061480.333008,14518798438679.666016,46080647070437.335938,146253565229483.343750,464188476130031.312500,1473269667209538.750000,4675953031882741.000000,14840824625011446.000000,47102713403815768.000000,149497461634531360.000000,474484152188145856.000000,1505946711176196352.000000,4779665424954318848.000000,15169993337055739904.000000,48147449117427662848.000000,152813307495177420800.000000,485008185805696073728.000000,1.5393485302708744e+21
ans,2.000000,4.000000,8.333333,21.333333,65.000000,192.666667,605.333333,1912.333333,6047.000000,19187.333333,60871.666667,193164.333333,613063.666667,1945711.333333,6175367.333333,19599702.666667,62206583.333333,197434958.333333,626630917.333333,1988839095.000000,6312298488.666667,20034357032.666668,63586262431.666664,201813953245.666656,640529419558.000000,2032951296283.000000,6452304684376.333008,20478717725078.332031,64996602022914.000000,206290175552878.656250,654736327834035.375000,2078042048483866.750000,6595416462622363.000000,20932934608908432.000000,66438223245536536.000000,210865680827466848.000000,669258345252660096.000000,2124132912158531840.000000,6741702453948146688.000000,21397226000977547264.000000,67911819553647697920.000000,215542670572181159936.000000,684102460260063248384.000000
fdn,2.000000,4.666667,10.666667,29.333333,87.333333,265.333333,834.666667,2636.000000,8347.333333,26480.666667,84015.333333,266620.666667,846184.000000,2685600.666667,8523661.333333,27052823.333333,85861750.000000,272513116.000000,864918488.000000,2745130682.000000,8712662666.666666,27652779016.000000,87766074172.000000,278557312648.666687,884102169212.666626,2806017328923.333496,8905908758872.666016,28266115827345.332031,89712720582675.328125,284735698519065.312500,903711508084028.625000,2868254644903922.500000,9103441346529986.000000,28893056792229468.000000,91702544018419264.000000,291051121379199552.000000,923755781945155456.000000,2931872382533653504.000000,9305355198279018496.000000,29533903276959846400.000000,93736501636621123584.000000,297506619991096098816.000000,944244636754687426560.000000
awnn,2.500000,8.500000,22.750000,66.500000,211.750000,657.500000,2083.000000,6608.250000,20949.750000,66496.500000,211032.250000,669755.250000,2125721.750000,6746687.000000,21413016.000000,67961930.000000,215701584.000000,684606813.250000,2172846720.500000,6896313074.250000,21887938586.500000,69469272710.500000,220485809934.750000,699791296965.750000,2221040253710.500000,7049272878307.750000,22373411752386.250000,71010097365803.750000,225376173460540.000000,715312630851706.000000,2270302809745032.000000,7205625380618960.000000,22869652851134744.000000,72585097601423968.000000,230375005169662688.000000,731178227497234048.000000,2320658007027607040.000000,7365445773755250688.000000,23376900552276844544.000000,74195031260466659328.000000,235484710705390682112.000000,747395722246279921664.000000,2.3721300799476817e+21
abodi,3.000000,7.200000,21.200000,68.000000,211.600000,674.600000,2142.800000,6797.800000,21586.000000,68510.400000,217445.800000,690163.800000,2190480.000000,6952303.800000,22065677.800000,70033394.600000,222276328.800000,705474198.400000,2239077039.600000,7106519293.600000,22555103982.200001,71586763428.399994,227206431660.600006,721121616018.000000,2288739721348.399902,7264141574550.200195,23055375113235.800781,73174554233744.000000,232245858544357.000000,737116055925338.625000,2339503848670522.500000,7425259854187344.000000,23566742125057696.000000,74797562010668192.000000,237397059510861760.000000,753465251399034112.000000,2391393921371751424.000000,7589951728437585920.000000,24089451229753008128.000000,76456568014313914368.000000,242662513843714129920.000000,770177071169692762112.000000,2.4444349131632117e+21
annjd,3.000000,8.600000,21.800000,66.800000,205.600000,631.200000,1997.200000,6314.600000,20008.000000,63489.400000,201443.600000,639302.400000,2029004.600000,6439636.200000,20438418.000000,64868521.000000,205883375.800000,653444988.200000,2073943030.800000,6582406184.400000,20891641202.799999,66307162539.199997,210449711203.799988,667938113864.000000,2119942678694.600098,6728403233018.000000,21355016118966.800781,67777851252626.601563,215117473809519.406250,682752944858038.750000,2166962894560698.500000,6877638861587784.000000,21828669253735596.000000,69281160435824664.000000,219888768094014016.000000,697896369370082560.000000,2215026017935233024.000000,7030184530919005184.000000,22312827993254961152.000000,70817812941746888704.000000,224765889441191100416.000000,713375674250856628224.000000,2.2641551788756532e+21
butl,2.500000,6.500000,19.500000,64.000000,200.000000,634.000000,2015.000000,6389.500000,20284.000000,64380.500000,204328.000000,648523.000000,2058317.500000,6532813.500000,20734268.000000,65807667.500000,208864410.500000,662906625.500000,2103973416.000000,6677719101.000000,21194151763.000000,67267290178.000000,213497024152.500000,677609863022.000000,2150639468249.500000,6825830576950.000000,21664236963474.000000,68759275215170.500000,218232376984233.500000,692639214347050.000000,2198340539021092.000000,6977227141343662.000000,22144748603679992.000000,70284352334520496.000000,223072759663749280.000000,708001915805665792.000000,2247099616914584064.000000,7131981673512379392.000000,22635917966626562048.000000,71843255584181182464.000000,228020501777034903552.000000,723705361176573640704.000000,2.2969401685987534e+21
bnutx,3.000000,8.600000,25.600000,81.400000,257.000000,815.000000,2588.400000,8212.800000,26067.200000,82734.400000,262582.200000,833402.400000,2645099.000000,8395168.800000,26645102.800000,84567834.600000,268406539.000000,851885025.600000,2703764560.200000,8581372690.600000,27236083455.000000,86443541019.600006,274359777238.799988,870779776852.400024,2763733909790.799805,8771707069234.599609,27840178331082.398438,88360854209420.203125,280445062663577.593750,890093626596192.750000,2825033382948050.500000,8966263071999019.000000,28457672026658576.000000,90320693322724128.000000,286665319449022368.000000,909835856564836992.000000,2887692475260431360.000000,9165134316820018176.000000,29088861700128387072.000000,92324001564963799040.000000,293023541204083277824.000000,930015968159305302016.000000,2.951741342955406e+21
bug,2.000000,7.000000,23.666667,81.333333,256.666667,818.333333,2604.666667,8262.666667,26237.333333,83279.666667,264315.666667,838929.666667,2662645.000000,8450879.333333,26821964.333333,85129175.333333,270188228.333333,857539927.000000,2721712474.000000,8638337048.666666,27416880511.666668,87017365912.000000,276181018009.333313,876560141994.666626,2782079985407.666504,8829934962507.000000,28024985567019.667969,88947406676012.328125,282306698620398.687500,896002200221884.375000,2843786373916950.500000,9025782457305206.000000,28646578278094000.000000,90920255493054224.000000,288568246394830272.000000,915875482045347712.000000,2906861406587591168.000000,9225973838974298112.000000,29281957882319699968.000000,92936861992800272384.000000,294968674969782681600.000000,936189552216315396096.000000,2.9713354401743514e+21
vuot,2.500000,6.750000,25.750000,91.500000,291.250000,939.750000,2997.750000,9523.000000,30264.000000,96078.000000,304977.000000,968038.250000,3072469.000000,9751711.750000,30950740.000000,98233481.500000,311779726.250000,989545811.750000,3140681188.500000,9968086041.750000,31637319497.750000,100412453299.750000,318695163723.000000,1011494129470.500000,3210341698374.500000,10189178082694.500000,32339034200548.750000,102639597077241.000000,325763806748424.250000,1033929017725404.000000,3281546910808516.000000,10415173520804404.000000,33056312287072076.000000,104916137963251264.000000,332989230907846400.000000,1056861509136273664.000000,3354331449243988992.000000,10646181523426404352.000000,33789499560423714816.000000,107243172402381717504.000000,340374914590263869440.000000,1.0803026419960347e+21,3.4287303449153634e+21
bth,2.000000,8.000000,23.000000,72.000000,218.000000,675.000000,2120.000000,6685.000000,21167.000000,67111.000000,212895.000000,675581.000000,2144024.000000,6804600.000000,21596575.000000,68544107.000000,217548945.000000,690469422.000000,2191452951.000000,6955365713.000000,22075361836.000000,70064126161.000000,222373789634.000000,705783478216.000000,2240058599406.000000,7109634456480.000000,22564990998356.000000,71618143238949.000000,227306026484201.000000,721437715939362.000000,2289742977955481.000000,7267325770883309.000000,23065481308939500.000000,73206629892011792.000000,232347662221630688.000000,737439166637011968.000000,2340529357130395136.000000,7428514675415790592.000000,23577072474974490624.000000,74830349104626188288.000000,237501121187282059264.000000,753795528687826108416.000000,2.3924421755537546e+21
axnd,2.500000,6.500000,15.750000,46.000000,139.250000,430.000000,1357.500000,4292.250000,13603.250000,43158.500000,136940.750000,434594.750000,1379296.750000,4377611.000000,13893852.500000,44097028.000000,139957654.000000,444205946.250000,1409847574.000000,4474659744.750000,14201947254.000000,45075004716.000000,143061795403.750000,454058241385.250000,1441117709239.500000,4573907186748.250000,14516945301360.750000,46074765469459.750000,146234897845658.000000,464129228449132.000000,1473081623308468.500000,4675356206691934.000000,14838930384855512.000000,47096701348995328.000000,149478380208642880.000000,474423590396077760.000000,1505754496470669568.000000,4779055362210816000.000000,15168057082751029248.000000,48141303715544915968.000000,152793802844260204544.000000,484946280756252311552.000000,1.5391520522532526e+21
anyd,2.500000,6.750000,21.750000,66.750000,208.250000,655.000000,2071.250000,6565.500000,20825.750000,66083.750000,209722.500000,665603.500000,2112501.750000,6704743.000000,21279862.000000,67539249.500000,214360079.750000,680348945.250000,2159332758.250000,6853421620.750000,21751806783.500000,69037209218.250000,219114500272.000000,695438950236.750000,2207226510338.250000,7005429977139.000000,22234260480460.500000,70568450580291.750000,223974447982257.500000,710863749123949.000000,2256182677857642.000000,7160810045730776.000000,22727415210793240.000000,72133655112368928.000000,228942189492790880.000000,726630669804611328.000000,2306224691353067008.000000,7319636437086780416.000000,23231508088526647296.000000,73733575800669192192.000000,234020115251925286912.000000,742747299962460307456.000000,2.3573766340882391e+21
vnad,2.500000,6.250000,15.750000,51.250000,154.750000,482.500000,1529.750000,4835.000000,15336.250000,48662.750000,154408.500000,490058.500000,1555329.250000,4936327.000000,15667179.500000,49725314.000000,157821108.250000,500902120.250000,1589793354.750000,5045782776.250000,16014612394.000000,50828151883.750000,161321484714.500000,512011955938.250000,1625054739840.250000,5157697741781.000000,16369815333937.500000,51955517270007.250000,164899586208596.500000,523368353562596.500000,1661098367866445.000000,5272095205894178.000000,16732896978126464.000000,53107887916688248.000000,168557050381586112.000000,534976636199747840.000000,1697941442566158336.000000,5389030001129318400.000000,17104031755759689728.000000,54285818086136266752.000000,172295636921319096320.000000,546842389940961280000.000000,1.7356016947364805e+21
adc,2.000000,5.666667,14.000000,45.666667,131.333333,416.000000,1313.000000,4144.333333,13157.333333,41731.000000,132419.000000,420279.000000,1333832.666667,4233368.000000,13436078.666667,42644092.000000,135346376.333333,429570395.333333,1363396422.333333,4327230510.000000,13734027327.333334,43589892249.666664,138348255361.666656,439098120841.333313,1393636368059.666748,4423208013708.333008,14038647084831.000000,44556713450424.664063,141416811857835.343750,448837293591014.000000,1424547148765586.000000,4521314534323053.000000,14350023539779320.000000,45544979016404104.000000,144553429327470400.000000,458792481226265344.000000,1456143529828782336.000000,4621597053628600320.000000,14668306309488687104.000000,46555164262980534272.000000,147759616810773741568.000000,468968474404624990208.000000,1.4884407169724417e+21
aoh,2.000000,7.000000,24.000000,79.000000,249.000000,783.000000,2473.666667,7828.333333,24816.666667,78726.000000,249807.666667,792787.666667,2516105.000000,7985641.333333,25345165.000000,80441814.333333,255310857.333333,810320807.666667,2571845058.666667,8162677930.000000,25907203723.333332,82225860505.333328,260973444444.666656,828293416395.000000,2628888107916.333496,8343725244192.000000,26481823534700.000000,84049624990138.000000,266761820688827.000000,846664919525620.000000,2687196706446803.500000,8528788630106793.000000,27069188988890700.000000,85913841261125728.000000,272678583878994176.000000,865443903040849408.000000,2746798588491236864.000000,8717956714730544128.000000,27669582181365133312.000000,87819405755673362432.000000,278726580572425388032.000000,884639403433654353920.000000,2.8077224371649034e+21
dnd,2.000000,5.333333,13.333333,40.666667,120.666667,374.666667,1183.333333,3738.000000,11852.666667,37601.333333,119306.666667,378641.333333,1201704.000000,3813975.333333,12104970.666667,38419364.666667,121937592.000000,387012796.000000,1228324498.000000,3898530854.000000,12373394305.333334,39271432086.000000,124642063186.000000,395596573095.333313,1255568504881.333252,3984999817294.666504,12647835212077.333984,40142469989406.664063,127406617013880.671875,404370883593042.687500,1283416947501035.250000,4073386902889801.500000,12928363532184294.000000,41032827866620328.000000,130232489095827328.000000,413339808585163776.000000,1311883068099182848.000000,4163734410814096896.000000,13215113957463498752.000000,41942933837271728128.000000,133121038875658665984.000000,422507663867496103936.000000,1.3409805657654787e+21
az,1.500000,4.000000,10.500000,35.500000,107.000000,336.000000,1066.500000,3371.000000,10697.000000,33942.000000,107701.500000,341827.500000,1084877.500000,3443209.500000,10928251.000000,34684654.500000,110084207.000000,349391880.500000,1108921032.500000,3519561018.000000,11170596920.000000,35453920694.500000,112525813300.000000,357141281387.000000,1133516757682.000000,3597624546567.500000,11418359977120.500000,36240286581746.500000,115021629567576.500000,365062655856468.000000,1158658099376296.500000,3677419669516085.000000,11671618601758244.000000,37044094236570000.000000,117572803278658496.000000,373159726420220032.000000,1184357075266684928.000000,3758984644968555008.000000,11930494490378035200.000000,37865730304448151552.000000,120180561890840150016.000000,381436389586849497088.000000,1.21062605309836e+21
adj,2.000000,6.666667,18.000000,58.666667,183.333333,566.000000,1796.000000,5681.333333,18007.333333,57148.000000,181328.000000,575476.000000,1826444.666667,5796766.000000,18398072.666667,58392786.000000,185330357.333333,588212639.333333,1866904721.333333,5925295530.000000,18806063535.333332,59687829306.666664,189440868422.666656,601258969023.333374,1908312346810.666748,6056717992397.333008,19223180579372.000000,61011701731804.664063,193642656219919.343750,614594860395314.000000,1950638613419101.000000,6191055678085253.000000,19649549714392428.000000,62364938074347496.000000,197937640177532000.000000,628226542169361280.000000,1993903675582413568.000000,6328372968408140800.000000,20085375696787959808.000000,63748189130926137344.000000,202327886658461401088.000000,642160573935733047296.000000,2.0381283545632567e+21
naxd,2.500000,6.750000,16.750000,50.500000,154.250000,479.250000,1515.750000,4795.000000,15201.500000,48232.500000,153045.500000,485713.250000,1541540.000000,4892551.250000,15528207.500000,49284242.500000,156421160.250000,496458832.750000,1575690969.500000,5001023638.750000,15872553057.250000,50377275212.750000,159890464599.000000,507470097008.000000,1610639510898.000000,5111945809398.000000,16224605063110.750000,51494640064264.000000,163436826052205.750000,518725756255456.500000,1646363409670689.000000,5225328497811898.000000,16584465950650244.000000,52636788478201904.000000,167061846280973312.000000,530231066326708224.000000,1682879663769103360.000000,5341226009912131584.000000,16952308535874199552.000000,53804269686802071552.000000,170767269272146477056.000000,541991563576950259712.000000,1.7202058464754129e+21
hbdi,2.500000,7.000000,17.750000,53.000000,159.500000,498.750000,1572.000000,4968.250000,15749.750000,49953.750000,158499.750000,503008.250000,1596393.000000,5066631.000000,16080658.750000,51037576.750000,161985953.250000,514120573.500000,1631746756.750000,5178936763.250000,16437224263.000000,52169462846.250000,165578618469.500000,525523505686.000000,1667938518719.500000,5293804890360.000000,16801800493106.000000,53326578085306.250000,169251142555453.250000,537179588220277.500000,1704933305895734.250000,5411221202941062.000000,17174463544093056.000000,54509358787125320.000000,173005124017770976.000000,549094203314644224.000000,1742748637218343936.000000,5531241805490515968.000000,17555392244999471104.000000,55718373506988302336.000000,176842368597521203200.000000,561273083954241339392.000000,1.781402710616714e+21
ameriean,4.500000,9.000000,20.125000,60.625000,182.625000,570.125000,1804.750000,5708.125000,18105.000000,57446.125000,182286.875000,578533.750000,1836134.000000,5827562.875000,18495824.500000,58703040.500000,186315157.000000,591338246.125000,1876825046.875000,5956781419.875000,18905995365.875000,60004999325.000000,190447522167.125000,604453948144.250000,1918452766888.125000,6088902275774.625000,19325329019521.000000,61335906676121.500000,194671637625738.375000,617860704276101.750000,1961003947708963.000000,6223953807586633.000000,19753963802198072.000000,62696333867881376.000000,198989444338053504.000000,631564822297453952.000000,2004498912444818688.000000,6362000776699529216.000000,20192105683589332992.000000,64086935265788903424.000000,203403019780121264128.000000,645572896942041989120.000000,2.048958593223753e+21
aemrican,4.500000,9.750000,21.500000,62.500000,186.375000,579.500000,1828.125000,5779.500000,18325.500000,58136.625000,184474.875000,585463.750000,1858115.375000,5897318.125000,18717185.625000,59405588.500000,188544911.500000,598415111.250000,1899285988.250000,6028069223.625000,19132252814.000000,60723108881.375000,192726701779.000000,611687747007.250000,1941411838122.375000,6161771174318.375000,19556604768856.250000,62069943739440.625000,197001369178835.625000,625254948221850.125000,1984472249651871.000000,6298438934146791.000000,19990369235036896.000000,63446651834126352.000000,201370849214042176.000000,639123070185042432.000000,2028487740092847616.000000,6438137979459450880.000000,20433754576530608128.000000,64853895245181403136.000000,205837244091393769472.000000,653298786371479535616.000000,2.073479491811234e+21
amoekriicnn,6.000000,13.272727,30.636364,85.454545,258.545455,807.818182,2547.000000,8065.545455,25576.636364,81145.545455,257510.181818,817253.545455,2593785.636364,8232240.090909,26127876.272727,82926108.909091,263195761.818182,835346494.272727,2651273289.636364,8414772280.000000,26707316373.636364,84765307182.272720,269033295430.818176,853874263132.454590,2710078158711.545410,8601411175017.272461,27299682843517.183594,86645396696132.000000,275000439084556.093750,872813148548942.875000,2770187548861930.000000,8792190022164195.000000,27905188375303564.000000,88567187048782704.000000,281099934400638880.000000,892172098415252736.000000,2831630163442993152.000000,8987200335857548288.000000,28524123990341332992.000000,90531602613789081600.000000,287334716207106064384.000000,911960428780072599552.000000,2.894435572001255e+21
aemrbcaj,4.500000,12.375000,31.000000,99.125000,302.000000,939.750000,2976.375000,9410.875000,29843.000000,94692.875000,300466.125000,953597.875000,3026499.500000,9605541.250000,30486559.750000,96759853.000000,307102041.625000,974698898.500000,3093558150.375000,9818522793.500000,31162625059.500000,98905836741.625000,313913369467.875000,996317375719.500000,3162172787007.625000,10036296650452.625000,31853809786750.375000,101099562256542.500000,320875950388812.500000,1018415641385047.500000,3232309611764416.000000,10258901181171952.000000,32560325614265416.000000,103341945241980080.000000,327992962137924608.000000,1041004046905808128.000000,3304002069466989056.000000,10486443071464849408.000000,33282511929181020160.000000,105634064169038020608.000000,335267828840917172224.000000,1.0640934620846385e+21,3.3772846621336325e+21
ateircon,4.500000,10.000000,27.875000,86.250000,264.875000,844.000000,2674.750000,8484.125000,26941.375000,85500.500000,271377.375000,861340.375000,2733766.625000,8676645.750000,27538504.500000,87403400.750000,277406368.250000,880449286.125000,2794423707.750000,8869112483.625000,28149329686.000000,89342058016.500000,283559267572.375000,899977680250.875000,2856403995677.000000,9065829034905.125000,28773680547213.875000,91323660421073.625000,289848597535618.250000,919939138507575.250000,2919758887059226.500000,9266908648306564.000000,29411879274228008.000000,93349214422187888.000000,296277424233639232.000000,940343340368312320.000000,2984518986089605632.000000,9472448196251906048.000000,30064233214424551424.000000,95419695103632064512.000000,302848841968856662016.000000,961200106354001182720.000000,3.050715460718029e+21
ahnp,2.500000,7.500000,19.750000,60.500000,182.750000,564.000000,1775.500000,5603.250000,17747.750000,56286.500000,178569.750000,566679.250000,1798449.750000,5707864.500000,18115795.000000,57496736.500000,182486291.500000,579185689.750000,1838254171.000000,5834362306.750000,18517453513.500000,58771820657.500000,186533583401.250000,592031649377.250000,1879026116123.000000,5963767566730.750000,18928168852363.750000,60075375534829.250000,190670887082690.000000,605162878439823.000000,1920702814416022.000000,6096043615293964.000000,19347994640677252.000000,61407844208480376.000000,194899957353023808.000000,618585359343579264.000000,1963303902120212992.000000,6231253543037126656.000000,19777132147336716288.000000,62769866973280165888.000000,199222828188154986496.000000,632305550180348854272.000000,2.0068498797300186e+21
yd,1.500000,4.500000,15.000000,47.000000,145.500000,460.000000,1455.000000,4611.000000,14630.500000,46422.500000,147326.500000,467580.500000,1484006.000000,4710004.500000,14948859.000000,47445536.500000,150585477.500000,477937256.000000,1516906251.000000,4814449331.500000,15280392359.000000,48497839975.000000,153925398955.000000,488537808842.500000,1550551062257.500000,4921233431033.500000,15619310498749.500000,49573519299221.000000,157339455922096.500000,499373551445302.000000,1584942202974506.000000,5030386129787375.000000,15965745985743000.000000,50673057356753248.000000,160829236803217696.000000,510449630631171008.000000,1620096137932365056.000000,5141959830390980608.000000,16319865394591989760.000000,51796983112049950720.000000,164396420842971594752.000000,521771376674873016320.000000,1.65602978532748e+21
anad,2.500000,6.000000,15.000000,49.500000,150.500000,469.000000,1488.500000,4705.500000,14925.500000,47363.000000,150285.000000,476974.000000,1513809.000000,4804550.500000,15248950.000000,48397926.500000,153608174.000000,487530882.000000,1547354930.500000,4911089150.500000,15587113625.000000,49471330297.500000,157015121789.500000,498344159053.500000,1581675053475.000000,5020016650440.000000,15932834698017.000000,50568601504080.000000,160497708450477.500000,509397405740698.000000,1616756522460327.500000,5131360355323841.000000,16286224134816110.000000,51690210432094048.000000,164057539205952096.000000,520695813488184832.000000,1652616097354547200.000000,5245173658953142272.000000,16647451732205715456.000000,52836696589266493440.000000,167696326823728119808.000000,532244819330425028608.000000,1.6892710357445588e+21
bnb,2.000000,5.333333,13.333333,40.666667,120.666667,374.666667,1183.333333,3738.000000,11852.666667,37601.333333,119306.666667,378641.333333,1201704.000000,3813975.333333,12104970.666667,38419364.666667,121937592.000000,387012796.000000,1228324498.000000,3898530854.000000,12373394305.333334,39271432086.000000,124642063186.000000,395596573095.333313,1255568504881.333252,3984999817294.666504,12647835212077.333984,40142469989406.664063,127406617013880.671875,404370883593042.687500,1283416947501035.250000,4073386902889801.500000,12928363532184294.000000,41032827866620328.000000,130232489095827328.000000,413339808585163776.000000,1311883068099182848.000000,4163734410814096896.000000,13215113957463498752.000000,41942933837271728128.000000,133121038875658665984.000000,422507663867496103936.000000,1.3409805657654787e+21
adi,2.000000,4.666667,11.000000,32.666667,99.333333,312.000000,987.000000,3124.333333,9910.333333,31443.000000,99778.000000,316667.000000,1005026.666667,3189779.000000,10123875.666667,32131700.000000,101981471.333333,323674900.333333,1027298953.333333,3260503834.000000,10348385445.333334,32844335857.666668,104243353827.666672,330853906952.333313,1050084287047.666626,3332821487785.333496,10577911895623.000000,33572821254332.667969,106555465590244.328125,338192228806239.000000,1073375100865374.000000,3406743292793117.500000,10812529425777710.000000,34317464667996768.000000,108918860228184592.000000,345693314706640576.000000,1097182504320263168.000000,3482304680401668608.000000,11052350761517217792.000000,35078624235005382656.000000,111334674837246033920.000000,353360774301569777664.000000,1.1215179547390467e+21
put,2.000000,6.000000,20.666667,73.333333,230.666667,741.333333,2362.666667,7496.666667,23817.333333,75600.666667,239954.666667,761630.666667,2417314.000000,7672267.333333,24350789.333333,77286035.333333,245295275.333333,778533210.000000,2470956236.000000,7842471794.666667,24890914998.666668,79000302940.000000,250735975431.333344,795801115894.666626,2525762068636.666504,8016417542232.000000,25442994414186.667969,80752525843371.328125,256297286544664.656250,813451943499341.375000,2581783339583441.500000,8194221263846187.000000,26007318697656204.000000,82543612634134928.000000,261981946924324896.000000,831494264958730752.000000,2639047158692026880.000000,8375968661847699456.000000,26584159662772387840.000000,84374425634476261376.000000,267792692770990817280.000000,849936764158967414784.000000,2.697581086302407e+21
bzut,2.500000,7.500000,25.250000,89.000000,278.750000,894.500000,2849.500000,9038.750000,28714.250000,91141.000000,289273.750000,918167.250000,2914131.250000,9249094.500000,29355423.000000,93170028.000000,295708864.000000,938538920.750000,2978792079.000000,9454272147.250000,30006545116.500000,95236601452.000000,302267728885.250000,959355734574.250000,3044861682285.000000,9663967523219.250000,30672088924120.250000,97348944592726.250000,308972011543383.500000,980634195020136.500000,3112396555396127.000000,9878313816936420.000000,31352394249593052.000000,99508139081028192.000000,315824994561520000.000000,1002384610052463104.000000,3181429347810181120.000000,10097414299465480192.000000,32047788710199930880.000000,101715224388483743744.000000,322829976381701685248.000000,1.0246174481468252e+21,3.251993283937241e+21
