word,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42
although,4.500000,16.375000,54.875000,181.625000,571.250000,1802.750000,5707.000000,18072.250000,57318.375000,181859.250000,577097.125000,1831531.250000,5812866.000000,18449023.125000,58554407.875000,185843171.250000,589839951.125000,1872069415.875000,5941687125.125000,18858087659.250000,59852946204.000000,189964925452.250000,602922252190.500000,1913591375003.625000,6073472891420.250000,19276358296693.375000,61180480407553.250000,194178336259388.750000,616295034337133.375000,1956034729053694.000000,6208182198645973.000000,19703906908805252.000000,62537460249782720.000000,198485201569188064.000000,629964425875516160.000000,1999419476773240064.000000,6345879354289524736.000000,20140938530912215040.000000,63924537839154102272.000000,202887592933056872448.000000,643937003811345661952.000000,2.043766495935262e+21,6.486630625643037e+21
andxxx,3.500000,10.000000,23.666667,61.666667,192.500000,590.833333,1859.166667,5890.166667,18650.000000,59169.166667,187749.333333,595800.166667,1890936.833333,6001431.666667,19047540.666667,60454099.833333,191872555.666667,608976481.666667,1932806223.666667,6134457366.500000,19469913835.833332,61794797568.833336,196128091823.833344,622483285610.333374,1975675374940.500000,6270518873625.000000,19901754841364.167969,63165402065275.164063,200478201553846.000000,636289930643097.375000,2019495749183155.250000,6409598650834867.000000,20343174716493712.000000,64566407366587624.000000,204924797546452320.000000,650402807934318976.000000,2064288059003607808.000000,6551763212829347840.000000,20794385265060261888.000000,65998486896632430592.000000,209470018811463204864.000000,664828708112603021312.000000,2.1100738599183453e+21
about,3.000000,8.200000,30.800000,110.600000,352.600000,1137.400000,3629.600000,11528.800000,36637.200000,116310.800000,369195.800000,1171875.200000,3719425.000000,11805073.600000,37467854.000000,118917905.800000,377429255.400000,1197908337.200000,3801994902.200000,12067003907.000000,38298992987.800003,121555678619.199997,385800820677.200012,1224478152251.199951,3886323366734.399902,12334649887855.400391,39148463333686.398438,124251778139927.000000,394357863774534.375000,1251637015155707.250000,3972521817380179.000000,12608231778407398.000000,40016774201819240.000000,127007676069305504.000000,403104700523041280.000000,1279398258535894272.000000,4060632143015796736.000000,12887881698199349248.000000,40904344155494424576.000000,129824699665336975360.000000,412045541645263110144.000000,1.3077752448293895e+21,4.150696751042571e+21
appreciate,5.500000,13.000000,31.800000,103.600000,305.100000,967.500000,3064.100000,9683.700000,30744.000000,97532.500000,309495.600000,982301.700000,3117557.300000,9894625.200000,31404102.600000,99671966.500000,316344874.800000,1004034334.200000,3186664812.800000,10114030718.700001,32100525999.299999,101882604300.699997,323361216137.099976,1026303527041.800049,3257344662188.899902,10338358946871.000000,32812513507486.500000,104142354538864.296875,330533349923550.625000,1049066884428829.750000,3329592394433452.000000,10567663203970076.000000,33540293334216372.000000,106452226498196128.000000,337864562289445376.000000,1072335132915070592.000000,3403442579156601856.000000,10802053419743449088.000000,34284215281782988800.000000,108813331300444635136.000000,345358380566223388672.000000,1.0961194699388556e+21,3.4789307571143495e+21
blend,3.000000,7.200000,17.400000,52.800000,155.400000,483.000000,1525.200000,4816.800000,15275.400000,48458.400000,153756.000000,487976.400000,1548701.400000,4915283.400000,15600358.200000,49513200.600000,157147863.600000,498765259.800000,1583011201.200000,5024257077.000000,15946292658.600000,50611314424.800003,160633272528.000000,509827665849.000000,1618122106558.800049,5135694527265.599609,16299980190454.800781,51733870235907.000000,164196109346019.000000,521135615833845.000000,1654011968826345.000000,5249603960863526.000000,16661512894317444.000000,52881324762261656.000000,167837970438215232.000000,532694376463985536.000000,1690697867565227520.000000,5366039901461046272.000000,17031064376711544832.000000,54054229772819628032.000000,171560607822501576704.000000,544509509803915280384.000000,1.7281974576218117e+21
andxxxx,4.000000,11.571429,27.285714,69.857143,219.000000,671.428571,2111.571429,6691.714286,21184.714286,67210.428571,213266.000000,676766.857143,2147909.000000,6817002.285714,21636013.428571,68669536.857143,217947143.571429,691733538.428571,2195465551.857143,6968101390.142858,22115783918.571430,70192421044.714279,222780980530.857147,707075847412.714233,2244160401027.285645,7122653006789.142578,22606310070592.570313,71749284231283.281250,227722249762319.156250,722758750747124.875000,2293935758724057.500000,7280633073957010.000000,23107716838228472.000000,73340679588182640.000000,232773117314638880.000000,738789501933004160.000000,2344815133564938240.000000,7442117133783913472.000000,23620244786102210560.000000,74967372016048832512.000000,237936012851970080768.000000,755175814349916078080.000000,2.396823010284955e+21
been,2.500000,5.250000,12.250000,38.000000,110.000000,344.750000,1089.500000,3439.500000,10914.500000,34622.750000,109859.250000,348672.750000,1106586.250000,3512110.500000,11146917.250000,35378645.500000,112286838.250000,356382678.750000,1131108822.500000,3589981957.000000,11394103080.750000,36163298125.000000,114777278506.500000,364287118632.500000,1156196651220.750000,3669607374181.750000,11646823460754.250000,36965397905441.750000,117323032064882.000000,372366987319630.250000,1181841031605155.000000,3750999072292007.000000,11905149393269490.000000,37785288491028576.000000,119925250762300144.000000,380626067571691136.000000,1208054203716016640.000000,3834196035039247360.000000,12169204982599168000.000000,38623364208606683136.000000,122585186536324071424.000000,389068333793585135616.000000,1.2348487826142155e+21
andxxxxx,4.500000,13.125000,30.875000,78.125000,245.625000,752.500000,2365.625000,7498.250000,23735.625000,75303.125000,238945.750000,758252.000000,2406526.375000,7637795.000000,24241061.750000,76937581.750000,244188703.625000,775020543.125000,2459806860.875000,7807083792.375000,24778597273.750000,78643820114.125000,249604545503.500000,792210111947.125000,2514364716262.875000,7980243924622.500000,25328184375477.500000,80388134734848.875000,255140759829623.250000,809781288528204.250000,2570133191164903.500000,8157245312953794.000000,25889962171826632.000000,82171139342195904.000000,260799768496560224.000000,827742195037823744.000000,2627138610574023680.000000,8338172586276824064.000000,26464200175318564864.000000,83993690904406638592.000000,266584293687618306048.000000,846101473523861553152.000000,2.685408407211424e+21
audience,4.500000,10.500000,26.625000,86.375000,254.000000,809.875000,2563.875000,8107.875000,25750.000000,81691.250000,259246.250000,822832.000000,2611459.125000,8288397.750000,26306199.625000,83492035.250000,264992135.000000,841048000.375000,2669369106.375000,8472206319.000000,26889604037.125000,85343863242.875000,270869552645.375000,859702288208.500000,2728575501030.000000,8660119168147.500000,27486013849684.750000,87236785399161.875000,276877424583505.250000,878770439487860.875000,2789095161810790.000000,8852200156131485.000000,28095652194744020.000000,89171692723350176.000000,283018551341391488.000000,898261521757677056.000000,2850957146258340864.000000,9048541491454676992.000000,28718812287316623360.000000,91149516192530055168.000000,289295887971020242944.000000,918184915212967084032.000000,2.91419122628212e+21
anne,2.500000,5.000000,11.250000,34.000000,99.750000,309.500000,978.000000,3088.250000,9794.250000,31072.500000,98591.750000,312905.250000,993078.750000,3151846.500000,10003490.500000,31749590.000000,100768701.500000,319825739.750000,1015082204.000000,3221729580.250000,10225321325.500000,32453747380.500000,103003680345.750000,326919355605.250000,1037596568172.500000,3293187204770.250000,10452118193090.250000,33173569536901.750000,105288296163994.500000,334170409275626.000000,1060610405001037.500000,3366229923341720.000000,10683945625448232.000000,33909357568267624.000000,107623585050264496.000000,341582291429546112.000000,1084134688170536064.000000,3440892726539558912.000000,10920914979237830656.000000,34661465341200961536.000000,110010670523791966208.000000,349158568743735918592.000000,1.1081807387112344e+21
